age,industry,title,context,salary,benefits,currency,currency-other,income_context,country,us_state,city,exp_total,exp_field,education,gender,race,,,
45-54,Libraries (Medical),Library troubleshooter,"Not my exact title, but it's what I do.","92,000",600,USD,,Additional compensation varies each year due to longevity pay & institutional performance bonus.,United States,Texas,Houston,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
55-64,Law,Legal assistant,,"85,000",8000,USD,,,U.S.,California,San Jose,31 - 40 years,21 - 30 years,Master's degree,Woman,White,,,
35-44,Computing or Tech,Software Engineer,,"101,000",50000,GBP,,,United Kingdom,,London,11 - 20 years,11 - 20 years,College degree,Man,White,,,
25-34,Consulting Operations- Big 4,Associate Director,,100000,5000,USD,,,USA ,Michigan,Grand Rapids,11 - 20 years,8 - 10 years,College degree,Woman,White,,,
35-44,Property or Construction,Office Manager ,,"21,840",NA,GBP,,,England,,Alton,8 - 10 years,5-7 years,College degree,Woman,White,,,
35-44,Business or Consulting,VP Growth Strategy,"head of sales & marketing, plus more general high-level strategy and ops work",140000,20000,USD,,,United States,Pennsylvania,outside philadelphia ,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
35-44,Computing or Tech,Engineering Manager,,"180,000",0,USD,,,United States,California,San Francisco Bay Area,31 - 40 years,21 - 30 years,College degree,Man,White,,,
35-44,Computing or Tech,Cloud Solutions Media Support Engineer,Technical Solutions Engineer,"150,000",15000,USD,,,United States,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
25-34,Insurance,Senior Associate Actuary,,"127,500",15000,USD,,,Usa,California,San Francisco ,5-7 years,5-7 years,College degree,Man,White,,,
35-44,Computing or Tech,Senior Software Engineer,,125000,0,USD,,,United States,Oregon,Portland,11 - 20 years,8 - 10 years,College degree,Woman,White,,,
35-44,Property or Construction,Sales coordinator ,Real estate agency administrator ,"28,850",NA,GBP,,,United Kingdom ,,London ,11 - 20 years,5-7 years,College degree,Woman,White,,,
45-54,Utilities & Telecommunications,Human Resources Manager,,"132,000",NA,USD,,,United States,Washington,Everett,21 - 30 years,21 - 30 years,Master's degree,Woman,White,,,
45-54,Government and Public Administration,Branch Manager,I never know whether to put libraries under non-profit or government.,"77,000",0,USD,,,US,Maryland,baltimore metro,11 - 20 years,8 - 10 years,Master's degree,Woman,White,,,
35-44,Education (Higher Education),Department Chair,humanities field,"70,000",NA,USD,,,United States,South Carolina,na,11 - 20 years,11 - 20 years,PhD,Woman,"Middle Eastern or Northern African, White",,,
18-24,Engineering or Manufacturing,HR Generalist,,"58,000",5000,USD,,,USA,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
25-34,Engineering or Manufacturing,Computer System Validation Engineer,,"100,000",100,USD,,,United States,California,Santa Monica,2 - 4 years,2 - 4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",,,
35-44,Engineering or Manufacturing,Senior Legal Counsel,,"98,000",NA,EUR,,,Germany,,ca. 100k inhabitants,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
35-44,Media & Digital,Collection Development Librarian,,"65,000",NA,USD,,,United States,Massachusetts,Boston,11 - 20 years,8 - 10 years,Master's degree,Woman,White,,,
35-44,Computing or Tech,Solutions Architect,,133000,18000,USD,,,USA,Colorado,Denver,11 - 20 years,11 - 20 years,Some college,Man,White,,,
35-44,Nonprofits,Senior Data Analyst,,"91,000",3000,USD,,,USA,District of Columbia,"Washington, DC",8 - 10 years,2 - 4 years,Master's degree,Woman,White,,,
25-34,Law,Attorney,Contract Partner,"125,000",10000,USD,,,USA,Connecticut,Hartford,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
25-34,Business or Consulting,Business Consultant,,34000,NA,USD,,,Jordan,,Amman,5-7 years,5-7 years,College degree,Woman,White,,,
35-44,Research ,Research project manager II,,"107,000",0,USD,,,United States ,Massachusetts,Greater Boston ,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
25-34,"Marketing, Advertising & PR",SEO,,"200,000",0,GBP,,,United Kingdom,,Bristol,8 - 10 years,5-7 years,College degree,Man,White,,,
55-64,Nonprofits,Association Solutions,I work for a full-service management firm; our clients are non-profits.,"47,000",NA,USD,,,usa,Virginia,annandale Va,21 - 30 years,2 - 4 years,Some college,Woman,White,,,
35-44,Hospitality & Events,Controller,Finance,"98,500",10000,USD,,,USA,Florida,Naples,21 - 30 years,21 - 30 years,College degree,Woman,White,,,
35-44,Engineering or Manufacturing,Structural engineer ,,"110,000",4000,USD,,,United States ,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
45-54,Education (Higher Education),Associate Dean for Communications,"Includes all of marketing, communications, PR, crisis comms, etc.","185,000",0,USD,,,USA,Illinois,Chicago,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
25-34,Education (Early Childhood Education),Quality Rating Specialist,Program assessor to conduct quality assessments at early childhood programs,62400,NA,USD,,,United States,California,San Diego,11 - 20 years,8 - 10 years,College degree,Woman,Asian or Asian American,,,
25-34,Health care,Manager of Clinical Referrals,I'm a people manager of a team of 7,"80,000",NA,USD,,,USA,California,San Francisco ,8 - 10 years,5-7 years,College degree,Woman,White,,,
35-44,Computing or Tech,Senior Data Quality Specialist,I'm basically a data analyst,"110,000",0,USD,,,US,Washington,Seattle,5-7 years,5-7 years,Master's degree,Woman,White,,,
35-44,Utilities & Telecommunications,Assistant ,,"50,876",2500,USD,,"Bonus is 0-5% based on organizational key performance indicators, max is $2500 based on my salary ",USA,Florida,North Fort Myers ,21 - 30 years,11 - 20 years,Some college,Woman,White,,,
25-34,music therapy ,Music Therapist,board certified music therapist ,"56,000",1000,USD,,,USA,Michigan,Berkley ,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
35-44,Utilities & Telecommunications,Network Architect,,"165,000",17000,USD,,,USA,Maryland,Laurel,21 - 30 years,11 - 20 years,College degree,Woman,White,,,
25-34,Computing or Tech,cloud operations engineer,"comparable to  \dev ops engineer\"" or \""infrastructure engineer\""""","74,000",NA,USD,,,United States,Oregon,Portland,8 - 10 years,5-7 years,Some college,Woman,White,,,
25-34,Business or Consulting,Director,,"220,000",40000,USD,,,US,Virginia,Stafford ,11 - 20 years,8 - 10 years,College degree,Woman,White,,,
25-34,"Accounting, Banking & Finance",Assurance senior,,"61,000",12000,USD,,Hourly rate over 40 hrs ,US,Oregon,Portland,5-7 years,2 - 4 years,College degree,Woman,White,,,
25-34,Education (Higher Education),Research Fellow,,"42,000",0,GBP,,,UK,,Manchester,8 - 10 years,5-7 years,PhD,Man,White,,,
35-44,"Accounting, Banking & Finance",Senior Communications Manager,Communications ,"115,000",NA,CAD,,"I might get a bonus, I'm not sure",Canada,,Toronto,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
35-44,Nonprofits,Deputy Executive Director,"#2 at organization, like a Managing Director","144,500",0,USD,,,US,New York,New York,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
25-34,Retail,Supervisor,"I am also acting manager on my manager's days off, and open and close the store every day.","19,760",0,GBP,,,Scotland,,Perth,8 - 10 years,8 - 10 years,College degree,Woman,White,,,
25-34,Computing or Tech,Senior Software Engineer,,"205,000",250000,USD,,RSUs and annual cash bonus,USA,California,San Francisco,11 - 20 years,11 - 20 years,Some college,Man,White,,,
18-24,Health care,Medical Scribe,Ophthalmology Dept,33150,0,USD,,"Usually work 30-40 hours a week, sometimes less",USA,Pennsylvania,Philadelphia,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American,,,
55-64,Education (Primary/Secondary),Music Teacher Half Time Grades PK -4,,"54,100",0,USD,,,USA,North Dakota,Minot,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
35-44,Architect,Project Manager/Architect,,"94,500",18000,USD,,,United States,Missouri,Kansas City,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
35-44,Government and Public Administration,FOIA Analyst,,"88,000",NA,USD,,,USA,District of Columbia,Washington,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,White,,,
25-34,"Accounting, Banking & Finance",Director of Finance and Admin,,87000,5000,CAD,,,Canada,,Winnipeg,5-7 years,5-7 years,College degree,Woman,White,,,
25-34,Government and Public Administration,"Deputy Director, Environmental Review",,"105,000",0,USD,,,US,New York,New York City,8 - 10 years,8 - 10 years,Master's degree,Woman,White,,,
35-44,Law Enforcement & Security,Detentions crew leader,I supervise inmates at our local jail as they clean and perform other Janitorial duties ,41000,0,USD,None,N/A,USA,Colorado,Aurora,8 - 10 years,1 year or less,College degree,Woman,White,,,
25-34,Government and Public Administration,Administrative Officer,Budget Officer + Office Manager,"53,000",NA,USD,,,United States,North Carolina,Troy,8 - 10 years,5-7 years,College degree,Man,White,,,
35-44,Education (Higher Education),Instructor,History,"53,000",NA,USD,,,United States,South Carolina,Pendleton,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
25-34,Law,Supervisory Paralegal Specialist,,"72,000",0,USD,,,United States,District of Columbia,Washington ,5-7 years,5-7 years,College degree,Woman,White,,,
35-44,Education (Higher Education),Associate Professor,In Humanities,"70,000",2000,USD,,,U.S.,Florida,Orlando,8 - 10 years,8 - 10 years,PhD,Woman,White,,,
35-44,Art & Design,User Experience Manager,Manage a design team for a retailer ,70000,7000,EUR,,,Ireland,,Cork,11 - 20 years,11 - 20 years,Master's degree,Man,White,,,
25-34,Education (Higher Education),Communities Manager,,"47,000",NA,GBP,,,UK,,London,5-7 years,5-7 years,College degree,Woman,White,,,
35-44,Entertainment,Studio/Touring Musician,,"15,600",0,USD,,"That's with ~100 hour weeks, not 40.",United States ,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
45-54,Retail,Cashier,,"25,000",2000,USD,,,USA,Connecticut,Hartford,21 - 30 years,21 - 30 years,Master's degree,Woman,White,,,
35-44,Media & Digital,Web Manager,,42000,300,USD,,,Usa,Washington,From home for a chicago based company,8 - 10 years,5-7 years,College degree,Woman,White,,,
25-34,Computing or Tech,Research Scientist/Engineer III,,"133,000",9000,USD,,,United States,California,"Cupertino, CA",8 - 10 years,2 - 4 years,College degree,Woman,Asian or Asian American,,,
35-44,Sales,Account Manager,I sell higher education materials and manage accounts. ,55000,20000,USD,,Our bonuses range depending on the year. I've made as little as 9k extra and as much as 20k extra,USA,Iowa,Dubuque,11 - 20 years,5-7 years,College degree,Woman,White,,,
25-34,Insurance,CLAIMS REPRESENTATIVE ,,"79,000",0,USD,,,Usa,Texas,Dallas,8 - 10 years,5-7 years,College degree,Woman,White,,,
35-44,Health care,Medical Technologist II,,"90,000",NA,USD,,,US,Oregon,Portland,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
25-34,Health care,Senior Health Economist,health services researcher with a CRO,"117,000",0,USD,,,USA,Massachusetts,Cambridge,8 - 10 years,8 - 10 years,PhD,Woman,White,,,
25-34,Nonprofits,Principal Web Developer,,"118,000",NA,USD,,,United States,New York,Brooklyn,11 - 20 years,11 - 20 years,College degree,Man,"Asian or Asian American, White",,,
25-34,Transport or Logistics,Customer Service Rep/Dispatcher,,30000,NA,AUD/NZD,,,USA,New Jersey,Westampton,11 - 20 years,8 - 10 years,College degree,Woman,Black or African American,,,
35-44,Insurance,Director of Operations,,91000,1500,USD,,,USA,Idaho,Boise,11 - 20 years,8 - 10 years,College degree,Woman,White,,,
25-34,Nonprofits,Programs Director,"Communications/Outreach/Community Relations, Marketing, Event Planning and special projects","47,200",0,USD,,,US,New Hampshire,Hanover,5-7 years,5-7 years,Master's degree,Woman,White,,,
55-64,Transport or Logistics,Customer service,,"45,000",3000,USD,,,Us,Georgia,Alpharetta,31 - 40 years,31 - 40 years,Some college,Woman,White,,,
25-34,Computing or Tech,Senior Software Engineer,,149000,15000,USD,,,United States,California,San Jose,5-7 years,5-7 years,Master's degree,Man,White,,,
25-34,Computing or Tech,Engineering Experience Lead,More generic version might be: Software Engineering Manager,"90,000",NA,GBP,,,United Kingdom,,London (but remote),11 - 20 years,11 - 20 years,Master's degree,Man,White,,,
45-54,Professional Association in Finance,VP Membership and Programs,,140000,30000,USD,,,United States,New York,New York City,21 - 30 years,8 - 10 years,Master's degree,Woman,"Black or African American, White",,,
45-54,Computing or Tech,Sr. Content Designer,,"135,000",NA,USD,,,US,California,San Jose,21 - 30 years,21 - 30 years,College degree,Woman,"Asian or Asian American, White",,,
55-64,"Manufacturing, Chemical",Material Handling Specialist Level 5,Job includes training new hires in SAP,"67,000",31000,USD,,"base, OT, profit sharing, 401 match",US,Wisconsin,Sturtevant,41 years or more,21 - 30 years,Some college,Woman,White,,,
25-34,Engineering or Manufacturing,Account Executive,,"135,000",14000,USD,,,United States,California,Los Angeles,5-7 years,2 - 4 years,College degree,Man,White,,,
25-34,Computing or Tech,Data Analyst,,"70,000",0,USD,,,Usa,Pennsylvania,Pittsburgh ,5-7 years,2 - 4 years,Master's degree,Woman,Asian or Asian American,,,
35-44,Utilities & Telecommunications,Project Manager ,(Govt contacting IT network),"102,000",0,USD,,,USA,Virginia,Arlington ,11 - 20 years,5-7 years,Master's degree,Woman,"Asian or Asian American, White",,,
25-34,"Marketing, Advertising & PR",Digital Strategic Planner,Position within digital / social media marketing agency,"720,000",60000,Other,THB,,Thailand,,Bangkok,2 - 4 years,2 - 4 years,Master's degree,Woman,Asian or Asian American,,,
25-34,Computing or Tech,CX Lead and Scrum Master,"QA Lead for a small team, Support Manager, and Scrum Master",87500,1000,USD,,,United States of America,Oregon,Salem,11 - 20 years,5-7 years,College degree,Man,White,,,
25-34,Business or Consulting,Indigenous Consultation & Engagement Administrator ,Under Canadian Law I facilitate Indigenous Consulation between recognized groups and the Crown. I also do research on past land claims between recognized groups and the Crown. ,"70,000",4000,CAD,,,Canada,,"Edmonton, Alberta",5-7 years,2 - 4 years,Master's degree,Woman,White,,,
35-44,Engineering or Manufacturing,Senior Principal Engineer,,"160,000",8000,USD,,,USA,California,Santa Clara,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
45-54,"Accounting, Banking & Finance",Communications Manager,,"110,000",5000,USD,,,USA,Texas,Dallas,21 - 30 years,21 - 30 years,College degree,Woman,White,,,
35-44,Education (Higher Education),Librarian,,"72,587",0,CAD,,,Canada,,Toronto,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
25-34,Retail,Customer Service Manager ,"I work under the Assistant Manager and supervise the cashiers, etc. ","41,288",NA,USD,,,United States ,Illinois,Chicago ,8 - 10 years,5-7 years,Some college,Woman,Black or African American,,,
35-44,Media & Digital,literary agent,,"70,000",NA,USD,," i am currently commission-only, so put my estimated earnings this year. Before going full commission, I earned a $29k salary (very low even for my industry) and about $35k in commission annually.",US,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
35-44,Social Work,Clinical Coordinator ,Licensed Professional Counselor ,61000,0,USD,,,United States,Pennsylvania,Harrisburg,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
45-54,Computing or Tech,Customer service ,,"41,600",NA,USD,,,United States,Indiana,Indianapolis,21 - 30 years,11 - 20 years,College degree,Man,White,,,
35-44,Computing or Tech,IT Manager,,90000,NA,USD,,,U.S.,Texas,Plano,11 - 20 years,11 - 20 years,Some college,Woman,White,,,
25-34,Health care,Health Communications,,64000,0,CAD,,,Canada,,Northern Ontario,5-7 years,5-7 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White",,,
55-64,Government and Public Administration,Executive Assistant,,"89,000",4000,USD,,,USA,California,Santa Monica,21 - 30 years,5-7 years,College degree,Woman,White,,,
35-44,Media & Digital,Senior Producer,,"98,500",NA,USD,,,US,New York,New York City,11 - 20 years,8 - 10 years,College degree,Woman,White,,,
35-44,Education (Higher Education),Human Resources Generalist,,"48,701",NA,USD,,,United States,Texas,Gainesville,8 - 10 years,2 - 4 years,College degree,Woman,White,,,
25-34,Social Work,Adolescent Social Worker,,"65,500",NA,USD,,,United States,New York,Brooklyn,8 - 10 years,8 - 10 years,Master's degree,Woman,White,,,
25-34,Nonprofits,"Senior associate, annual giving ",Digital fundraising and individual giving ,"72,800",NA,USD,,,United States,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White,,,
25-34,Government and Public Administration,IT Specialist,"Federal, GS-2210-13","103,550",2000,USD,,Bonus varies and is typically tied to performance awards.,United States,Georgia,Atlanta,11 - 20 years,11 - 20 years,Some college,Woman,White,,,
45-54,Education (Higher Education),professor, at a community college,"58,000",7000,USD,,,usa,Texas,Fort Worth,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
35-44,Health care,Program Manager II,,"68,000",3000,USD,,,United States,Arizona,Tucson ,11 - 20 years,8 - 10 years,Master's degree,Woman,White,,,
25-34,Computing or Tech,Team Lead,,"135,000",0,CAD,,,Canada,,Toronto,8 - 10 years,8 - 10 years,College degree,Man,White,,,
25-34,Education (Higher Education),Student Program Advisor,,"59,699",0,USD,,My position is 44 weeks out of the year - during the academic year. I am unpaid during the summer. ,United States,Wisconsin,Madison,8 - 10 years,2 - 4 years,Master's degree,Woman,White,,,
35-44,"Accounting, Banking & Finance",Accounting & AP Specialist,,"49,000",4000,USD,,,USA,Utah,Salt Lake City,21 - 30 years,11 - 20 years,College degree,Woman,White,,,
25-34,Media & Digital,Product Manager,I'm level II (which is right below Senior PM),135000,13500,USD,,,USA,New York,New York,5-7 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, Middle Eastern or Northern African, White",,,
35-44,Engineering or Manufacturing,Senior Business Development Manager,,145000,36250,USD,,,USA,Wisconsin,Milwaukee,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
45-54,"Accounting, Banking & Finance",Vice President,,"119,000",4000,USD,,,USA,Delaware,Wilmington,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,White,,,
35-44,Art & Design,Packaging designer,,"68,000",7500,USD,,,US,Oregon,Portland,21 - 30 years,21 - 30 years,High School,Man,White,,,
25-34,Nonprofits,Office & Building Manager,,"82,500",0,USD,,,United States,District of Columbia,Washington ,8 - 10 years,5-7 years,College degree,Woman,White,,,
35-44,Nonprofits,Director Acquisition ,,"113,000",NA,USD,,,United States,New York,New york ,11 - 20 years,11 - 20 years,College degree,Woman,Black or African American,,,
35-44,Sales,Sales Rep,,"145,000",NA,USD,,I am full commission I don’t have a base salary. My salary ranges from 120k-160k annually.,USA ,Washington,Seattle,8 - 10 years,8 - 10 years,College degree,Man,White,,,
25-34,"Marketing, Advertising & PR",Copywriter,,"51,417",100,USD,,,United States,Wyoming,Madison,5-7 years,5-7 years,College degree,Woman,White,,,
45-54,Government and Public Administration,Manager ,Business Intelligence ,"102,500",0,CAD,,,Canada,,Charlottetown,21 - 30 years,8 - 10 years,PhD,Woman,White,,,
35-44,Engineering or Manufacturing,HR Director,,"170,000",30000,CAD,,,Canada,,Toronto ,21 - 30 years,21 - 30 years,College degree,Woman,White,,,
35-44,Nonprofits,Major Gifts Officer,,"69,500",500,USD,,,United States,Virginia,Alexandria,11 - 20 years,8 - 10 years,Master's degree,Woman,White,,,
35-44,Food,Personal chef ,,"130,000",1000,USD,,"My day rate is $750, with a regular client I sometimes charge $500/day",USA,California,Los Angeles ,11 - 20 years,8 - 10 years,Some college,Woman,"Black or African American, White",,,
25-34,Engineering or Manufacturing,RFIC Design Engineer,Electrical Engineering,105000,10000,USD,,,United States,Texas,Austin,2 - 4 years,2 - 4 years,Master's degree,Man,White,,,
25-34,Insurance,Senior Director of Engineering ,,"260,000",65000,USD,,,United States,California,San Francisco,11 - 20 years,8 - 10 years,College degree,Man,Asian or Asian American,,,
25-34,Media & Digital,Segment Producer,,80000,NA,USD,,,USA,New York,New York City,5-7 years,5-7 years,College degree,Woman,White,,,
35-44,Education (Higher Education),Senior lecturer,,"42,000",1500,GBP,,,UK,,Chester,8 - 10 years,8 - 10 years,PhD,Woman,White,,,
25-34,Computing or Tech,Staff Accountant,,"56,160",250,USD,,,United States,Maryland,DC area,5-7 years,2 - 4 years,College degree,Woman,White,,,
25-34,Transport or Logistics,Warehouse Supervisor,,"18,532",0,GBP,,,England,,Cumbria,11 - 20 years,2 - 4 years,College degree,Woman,White,,,
45-54,"Accounting, Banking & Finance",VP of Events,,"116,513",8500,USD,,,United States,,New York City ,21 - 30 years,21 - 30 years,College degree,Woman,White,,,
35-44,Computing or Tech,Happiness Engineer,Technical Support,56000,NA,GBP,,,United Kingdom,,Prefer not to say,11 - 20 years,5-7 years,High School,Man,White,,,
25-34,Computing or Tech,Senior Software Engineer,,"165,000",NA,USD,,,USA,California,Oakland,8 - 10 years,2 - 4 years,College degree,Woman,White,,,
35-44,"Marketing, Advertising & PR",Senior Art Director,,"100,000",0,USD,,,USA,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
,,,,,NA,,,,,,,,,,,,,,
35-44,Nonprofits,Operations Manager,,"47,000",0,USD,,,USA,Maryland,Silver Spring,8 - 10 years,5-7 years,Master's degree,Woman,White,,,
25-34,Social Work,Trauma Therapist,,48700,NA,USD,,,United States,New York,NYC,11 - 20 years,2 - 4 years,Master's degree,Woman,White,,,
55-64,Recruitment or HR,Regional HR Manager,,"52,000",3000,USD,,,United States,Texas,College Station,21 - 30 years,11 - 20 years,College degree,Woman,White,,,
35-44,Law,Attorney,,"162,000",NA,USD,,,Usa,North Carolina,Raleigh,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
25-34,Retail,Customer Experience Associate,Customer Experience Associate,53000,1000,USD,,,Usa,New York,Nyc,8 - 10 years,5-7 years,College degree,Woman,White,,,
18-24,Hospitality & Events,Server,,"13,600",NA,USD,,,United States,North Carolina,Greensboro,2 - 4 years,2 - 4 years,Some college,Woman,White,,,
35-44,Engineering or Manufacturing,Quality Engineer,,"136,000",35000,USD,,,United states,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
35-44,Nonprofits,Senior Project manager ,,"43,000",NA,GBP,,,United Kingdom ,,Brighton,11 - 20 years,11 - 20 years,,Woman,White,,,
25-34,Nonprofits,Senior Donor Advisor,,75000,NA,USD,,,United States,New Jersey,Remote,5-7 years,5-7 years,,,,,,
35-44,Business or Consulting,IT consultant,,"75,000",12000,GBP,,,UK,,London,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
35-44,Health care,Quality Assurance,,"96,000",NA,USD,,,United States,Georgia,Atlanta,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
25-34,Science ,Research Scientist,,"105,000",18000,AUD/NZD,,,Australia,,Geelong ,8 - 10 years,8 - 10 years,PhD,Woman,White,,,
35-44,Communications,Strategic Communications Manager,,50220,0,GBP,,,UK,,London,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
45-54,Computing or Tech,Senior Deliverablity Consultant,"I work in email, helping people understand how to get their mail delivered to the Inbox (secret hint:  send mail people want!)","110,000",220000,USD,,The additional is a bonus for making our goals - specifically achieving billable hours targets,United States,California,San Francisco Bay Area,21 - 30 years,11 - 20 years,Some college,Woman,White,,,
45-54,Retail,Import Sourcing Manager-Apparel,,88000,2000,USD,,,USA,California,Orange county ,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
35-44,Computing or Tech,Software Engineer,,"145,000",5000,USD,,,United States,New York,New York,11 - 20 years,5-7 years,PhD,Man,White,,,
45-54,"Accounting, Banking & Finance",Market Manager ,,"220,000",50000,USD,,,United States,District of Columbia,Washington,21 - 30 years,21 - 30 years,High School,Man,"Hispanic, Latino, or Spanish origin",,,
35-44,Law,Legal Assistant,,"43,000",1500,CAD,,,Canada,,Niagara Falls,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
25-34,Media & Digital,Photojournalist,,"35,000",NA,USD,,,USA,Tennessee,Chattanooga,11 - 20 years,8 - 10 years,College degree,Man,White,,,
35-44,Nonprofits,Data Analytics Manager,,"74,000",0,EUR,,"Benefits include pension, public transport allowance, lunch allowance and 5 weeks paid leave",Netherlands,,Utrecht,11 - 20 years,2 - 4 years,Master's degree,Man,White,,,
25-34,Computing or Tech,Visual Designer,,"110,000",1400,USD,,"Additional monetary income is the total yearly amount for our wfh, food, and wellness stipends",United States,Illinois,Chicago (remote) ,5-7 years,5-7 years,College degree,Woman,White,,,
35-44,Health care,Sterilization Tech,,"38,400",NA,USD,,,United States of America,Washington,Seattle,11 - 20 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, Native American or Alaska Native, White",,,
25-34,Nonprofits,Senior Policy Specialist,,"65,000",800,USD,,,United States,District of Columbia,DC,5-7 years,5-7 years,Master's degree,Woman,White,,,
25-34,Computing or Tech,Software Engineer,,"55,000",NA,GBP,,,UK,,Glasgow,5-7 years,2 - 4 years,College degree,Woman,White,,,
35-44,Law,Chief Privacy Officer/Counsel,,"190,000",70000,USD,,,United States,New York,New York,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American,,,
45-54,Education (Primary/Secondary),Teacher,,"82,000",0,USD,,,US,Georgia,Fayetteville,21 - 30 years,21 - 30 years,Master's degree,,White,,,
35-44,Law,Staff attorney,,"85,700",NA,USD,,,USA,Indiana,Indianapolis,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
25-34,Health care,social worker,,"67,200",0,USD,,,usa,New York,new york,8 - 10 years,2 - 4 years,Master's degree,Woman,White,,,
25-34,Subsidized Seniors Housing,Administrative Support,,"45,000",NA,CAD,,,Canada,,Edmonton,8 - 10 years,5-7 years,College degree,Woman,White,,,
45-54,Nonprofits,office manager,,"43,800",0,USD,,,US,Vermont,Brattleboro,21 - 30 years,8 - 10 years,College degree,Woman,White,,,
35-44,Computing or Tech,Software Engineer ,,"200,000",200000,USD,,,United States,California,Sunnyvale,11 - 20 years,11 - 20 years,Master's degree,Man,"Middle Eastern or Northern African, White",,,
25-34,Media & Digital,Product Specialist,,"85,000",NA,USD,,,US,New York,New York,5-7 years,5-7 years,College degree,Woman,Asian or Asian American,,,
25-34,Sales,Assistant Sales Manager,,"29,500",40500,USD,,,United states,Massachusetts,Haverhill,11 - 20 years,8 - 10 years,College degree,Man,White,,,
25-34,Health care,Data Analyst,,"53,000",NA,USD,,,United States,New York,New York City,8 - 10 years,2 - 4 years,Master's degree,Man,"Black or African American, Hispanic, Latino, or Spanish origin, White",,,
25-34,Nonprofits,Associate Director ,,"101,500",0,USD,,,USA,Maryland,Rockville,11 - 20 years,8 - 10 years,College degree,Woman,White,,,
25-34,Academia,PhD student biotechnology,,"40,261",NA,EUR,,,The Netherlands,,Delft,1 year or less,1 year or less,Master's degree,Woman,White,,,
35-44,Computing or Tech,Principal Software Engineer,,"140,000",28000,USD,,,United States,Nebraska,Omaha,11 - 20 years,11 - 20 years,Some college,Man,White,,,
35-44,Computing or Tech,Software Developer,,"100,260",0,USD,,"Consulting income from working for international group. No benefits, no retirement packages. Pay is only roughly adjusted for location, so prob less than the California average.",United States,California,Los Angeles,21 - 30 years,21 - 30 years,College degree,Woman,White,,,
45-54,Engineering or Manufacturing,Chemical Technician II ,,"54,000",5000,USD,,,USA,California,Los Angeles ,11 - 20 years,5-7 years,Some college,Woman,White,,,
25-34,Computing or Tech,IT Manager,,"130,000",20000,USD,,,USA,New Jersey,Somerset,11 - 20 years,11 - 20 years,College degree,Man,White,,,
35-44,Computing or Tech,Data Science Manager,,"220,000",150000,USD,,40k of the additional amt is bonus the rest is stock comp,USA,New York,New York,11 - 20 years,11 - 20 years,Master's degree,Man,White,,,
25-34,Nonprofits,Visitor Experience Coordinator,,"36,000",0,USD,,,US,Colorado,Denver,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
