age,industry,title,context,salary,benefits,currency,currency-other,income_context,country,us_state,city,exp_total,exp_field,education,gender,race,,,
25-34,"Accounting, Banking & Finance",Employee Relations Advisor,HR Specialist,"59,000",0,USD,,,United States ,Louisiana,Baton Rouge,5-7 years,2 - 4 years,Master's degree,Woman,White,,,
25-34,Computing or Tech,Developer,Web Developer / Web Engineer,"80,000",500,USD,,,United States,Ohio,Dayton,11 - 20 years,5-7 years,College degree,Woman,White,,,
25-34,"Accounting, Banking & Finance",Senior Operations Associate ,,"80,000",8000,USD,,,United States ,Missouri,Saint Louis ,8 - 10 years,5-7 years,College degree,Woman,White,,,
25-34,Computing or Tech,Data Scientist,,"225,000",200000,USD,,"The \additional\"" is estimated approx annual value of stock","and fluctuates a lot. This is a successful company I joined slightly pre-IPO.""",USA,California,San Francisco,5-7 years,2 - 4 years,PhD,Man,White,,
55-64,Government and Public Administration,Lead Analyst,,"180,000",1250,USD,,,USA ,District of Columbia,WashingtonDC ,31 - 40 years,31 - 40 years,PhD,Woman,White,,,
35-44,Education (Primary/Secondary),Spanish Teacher,Also have residential life and activities moderating/coaching responsibilities.,"48,000",NA,USD,,Also receive room and board. I'm paid drastically more than my peers at this school.,USA,Massachusetts,Small Rural Town. Would no longer be anonymous if stated.,11 - 20 years,11 - 20 years,PhD,Woman,White,,,
25-34,Education (Higher Education),Admission Prospect Data Specialist,,"36,000",0,USD,,,US,Oregon,Portland,5-7 years,5-7 years,Master's degree,Woman,White,,,
25-34,Law,Information Manager,Qualified librarian ,"63,500",0,GBP,,London-based - higher wages. 35 hour week is full time in UK so haven't made pro-rata for 40 hours,United Kingdom,,London ,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
25-34,Nonprofits,Major Gifts Officer,,87500,5000,USD,,Bonus can vary year-to-year based on percentage over fundraising goal achieved ,USA,District of Columbia,Washington,8 - 10 years,8 - 10 years,Master's degree,Woman,White,,,
25-34,"Marketing, Advertising & PR",Assistant Account Executive ,,"40,000",8000,USD,,,United States,California,Los Angeles,5-7 years,2 - 4 years,College degree,Man,,,,
25-34,Utilities & Telecommunications,Engineer 3,,104000,17000,USD,,,USA,Maryland,Lusby,8 - 10 years,8 - 10 years,College degree,Woman,White,,,
25-34,,Chemist,,81000,3000,USD,,,US,California,Pittsburg,5-7 years,5-7 years,PhD,Woman,Asian or Asian American,,,
25-34,Entertainment,Supervising producer,Digital Production ,"70,000",5000,USD,,,USA,California,Los Angeles,5-7 years,5-7 years,College degree,Woman,White,,,
25-34,Education (Higher Education),Postdoc Research Associate,,"48,500",NA,USD,,,USA,Iowa,Ames,5-7 years,5-7 years,PhD,Woman,White,,,
25-34,Education (Higher Education),Instructor of Marketing,Not tenure track,"75,000",6000,USD,,"Bonus money is for teaching classes over the summer (3,000 per class)",United States,Mississippi,Hattiesburg ,2 - 4 years,1 year or less,Master's degree,Woman,White,,,
45-54,Biomedical Research,Research Tech II,,"45,760",NA,USD,,,USA,Kentucky,Louisville,21 - 30 years,21 - 30 years,Master's degree,Woman,White,,,
25-34,Recruitment or HR,Enterprise Resource Planning Analyst I,HRIS Systems admin,"57,500",NA,USD,,,United States,Ohio,Cincinnati,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
35-44,Computing or Tech,Senior Developer Relations Manager ,,"110,000",0,CAD,,,Canada,,Montreal,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",,,
25-34,Health care,Midwife,NHS midwife in UK,"31,000",1000,GBP,,,UK,,Brighton,2 - 4 years,1 year or less,Master's degree,Woman,White,,,
35-44,Health care,Director of Analytics,,185000,30000,USD,,,United States,Illinois,Chicago,11 - 20 years,8 - 10 years,Master's degree,Man,White,,,
45-54,Utilities & Telecommunications,Executive Assistant ,,"63,000",0,USD,,,USA ,Rhode Island,West Warwick ,31 - 40 years,31 - 40 years,Some college,Woman,White,,,
35-44,Computing or Tech,Product Manager,,"130,000",0,USD,,,United States,,Philadelphia ,11 - 20 years,11 - 20 years,College degree,Man,White,,,
45-54,Government and Public Administration,Natural Resource Manager ,,"90,000",0,USD,,,United States,Virginia,Norfolk,21 - 30 years,11 - 20 years,Master's degree,Man,Another option not listed here or prefer not to answer,,,
18-24,Computing or Tech,Statistical Associate,,"55,900",NA,USD,,,United States ,District of Columbia,Washington,1 year or less,1 year or less,College degree,Woman,Black or African American,,,
35-44,Computing or Tech,Senior Data Scientist,,"160,000",NA,USD,,,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,Master's degree,Woman,White,,,
25-34,Business or Consulting,Supply chain analyst,,43000,NA,CAD,,,Canada,,Montreal,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American,,,
25-34,Hospitality & Events,Technical Data Analyst,,"59,000",2000,USD,,,united states,Indiana,Carmel,8 - 10 years,5-7 years,College degree,Woman,White,,,
25-34,Recruitment or HR,Recruiter,,"89,000",13300,USD,,,USA,Michigan,Ann Arbor,8 - 10 years,2 - 4 years,College degree,Woman,White,,,
25-34,Law,Librarian,,"66,000",1000,USD,,,USA,Virginia,Richmond,8 - 10 years,5-7 years,Master's degree,Woman,White,,,
35-44,Education (Higher Education),Academic Advisor/Recruiter for master's program,,"72,300",NA,USD,,,USA,District of Columbia,Washington,11 - 20 years,5-7 years,PhD,Woman,White,,,
35-44,Insurance,Senior Vice President ,,"170,000",70000,USD,,,United States,Michigan,Detroit,11 - 20 years,11 - 20 years,College degree,Other or prefer not to answer,Another option not listed here or prefer not to answer,,,
35-44,Education (Higher Education),Assistant Professor,Nursing tenure track,11500,0,USD,,,United States,Kentucky,Louisville,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
55-64,Media & Digital,Developmental Editor,Freelance,72000,NA,USD,,,Usa,Ohio,Cleveland,31 - 40 years,11 - 20 years,High School,Woman,White,,,
35-44,Health care,Occupational Therapy,Outpatient,"93,000",1000,USD,,,USA ,North Carolina,Charlotte ,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
25-34,Engineering or Manufacturing,Senior Software Engineer,,147000,0,USD,,,United States,Massachusetts,Boston,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American,,,
25-34,"Accounting, Banking & Finance",Consolidation Manager,,102000,10000,USD,,,United States ,Kentucky,Mount Washington ,8 - 10 years,8 - 10 years,Master's degree,Woman,White,,,
25-34,Engineering or Manufacturing,HR Generalist,,40000,NA,USD,,,USA,Idaho,Boise,8 - 10 years,2 - 4 years,Some college,Woman,White,,,
25-34,Computing or Tech,Level 2 Sys Admin,,"55,000",6000,USD,,,US,Indiana,Indianapolis,5-7 years,5-7 years,College degree,Other or prefer not to answer,Another option not listed here or prefer not to answer,,,
25-34,Computing or Tech,Development Team Lead,,"55,000",3100,GBP,,,United Kingdom,,Leeds,8 - 10 years,8 - 10 years,College degree,Man,White,,,
35-44,"Marketing, Advertising & PR",Content Developer and Researcher,,"50,000",NA,USD,,,United States,California,San Diego,11 - 20 years,8 - 10 years,College degree,Woman,White,,,
35-44,,Veterinarian ,,"50,000",0,USD,,,USA,Missouri,"St. Louis, MO",5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
25-34,Computing or Tech,Software Engineer,,"189,000",0,USD,,,United States,California,San Francisco,5-7 years,5-7 years,Master's degree,Man,Asian or Asian American,,,
35-44,"Accounting, Banking & Finance",Controller,,"82,500",NA,USD,,,United States,Indiana,Indianapolis,11 - 20 years,8 - 10 years,Master's degree,Woman,White,,,
45-54,Education (Higher Education),Grants Accountant Sr.,,"62,000",0,USD,,,US,West Virginia,Morgantown,21 - 30 years,8 - 10 years,Master's degree,Woman,White,,,
25-34,Government and Public Administration,Business Office Coordinator,,"41,000",0,USD,,,USA,Louisiana,Baton Rouge,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
18-24,"Accounting, Banking & Finance",manager,,20000,1000,USD,,,Zimbabwe,Alabama,New York,2 - 4 years,2 - 4 years,College degree,Man,Black or African American,,,
25-34,Engineering or Manufacturing,Sanitation Manager,,87000,30000,USD,,I work every other weekend and get paid overtime for all hours worked on weekends.,USA,Virginia,Richmond,5-7 years,5-7 years,Master's degree,Man,White,,,
35-44,Agriculture or Forestry,Turnip farmer,,"500,000",0,USD,,,USA,Hawaii,Prefer not to say,8 - 10 years,2 - 4 years,PhD,Non-binary,Native American or Alaska Native,,,
25-34,Health care,Physician Recruiter,,68300,0,USD,,,United States,Kansas,Shawnee,11 - 20 years,5-7 years,College degree,Woman,White,,,
25-34,Retail,Assistant Manager,,40560,0,CAD,,I'm an hourly employee with reduced hours due to the pandemic,Canada,,Vancouver,5-7 years,1 year or less,Some college,Woman,White,,,
35-44,Computing or Tech,Senior cloud Solutions architect ,,"90,000",30000,GBP,,,Uk,,Virtual ,21 - 30 years,21 - 30 years,College degree,Woman,White,,,
25-34,Business or Consulting,Senior experience strategist,,"73,645",3000,USD,,,US,Pennsylvania,Pittsburgh ,2 - 4 years,2 - 4 years,Master's degree,Woman,White,,,
25-34,Law,Staff Attorney,Public defender ,"99,000",NA,USD,,,United States,Washington,Seattle,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
25-34,Health care,Research Coordinator,,70000,NA,CAD,,,Canda,,Toronto,1 year or less,2 - 4 years,Master's degree,Woman,Asian or Asian American,,,
35-44,"Accounting, Banking & Finance",Accountant,Specialist,"87,400",NA,USD,,,USA,Connecticut,Windsor Locks,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
